Target Distance:100, Step Size:20
0:(x,y) = (17.3205,10)
1:(x,y) = (25.4552,28.2709)
2:(x,y) = (31.9666,47.1813)
3:(x,y) = (15.5836,58.6528)
4:(x,y) = (35.5348,57.2577)
5:(x,y) = (20.214,70.1134)
6:(x,y) = (1.08786,64.266)
7:(x,y) = (7.92826,83.0599)
8:(x,y) = (26.1992,74.9251)
9:(x,y) = (32.0466,55.799)
10:(x,y) = (49.0076,66.3974)
11:(x,y) = (45.8789,46.6436)
12:(x,y) = (44.4837,66.5949)
13:(x,y) = (57.0702,51.052)
14:(x,y) = (37.3164,47.9233)
15:(x,y) = (18.1903,42.0759)
16:(x,y) = (27.5797,24.4169)
17:(x,y) = (43.9628,12.9454)
18:(x,y) = (30.5802,-1.9175)
19:(x,y) = (29.5334,18.0551)
20:(x,y) = (9.58216,19.4502)
21:(x,y) = (28.9007,14.2738)
22:(x,y) = (47.9218,8.0935)
23:(x,y) = (58.8146,-8.67991)
24:(x,y) = (74.3575,-21.2663)
25:(x,y) = (86.3938,-37.239)
26:(x,y) = (80.5464,-18.1129)
27:(x,y) = (65.4522,-31.2341)
28:(x,y) = (45.4522,-31.2341)
29:(x,y) = (25.6984,-28.1054)
30:(x,y) = (32.8658,-46.777)
31:(x,y) = (36.3387,-27.0809)
32:(x,y) = (16.5334,-24.2974)
33:(x,y) = (7.76595,-6.32153)
34:(x,y) = (20.3524,9.22138)
35:(x,y) = (5.72528,-4.41858)
36:(x,y) = (1.22626,-23.906)
37:(x,y) = (9.99368,-5.9301)
38:(x,y) = (-9.13241,-0.0826687)
39:(x,y) = (-28.8862,-3.21136)
40:(x,y) = (-20.4338,14.9148)
41:(x,y) = (-0.58289,12.4774)
42:(x,y) = (-20.4338,14.9148)
43:(x,y) = (-34.5759,29.0569)
44:(x,y) = (-31.103,48.7531)
45:(x,y) = (-26.9448,29.1901)
46:(x,y) = (-26.2468,9.20232)
47:(x,y) = (-6.29548,10.5974)
48:(x,y) = (6.56027,-4.72344)
49:(x,y) = (8.99766,-24.5744)
50:(x,y) = (7.25454,-4.65047)
51:(x,y) = (-11.8716,-10.4979)
52:(x,y) = (-21.8716,-27.8184)
53:(x,y) = (-33.6273,-11.6381)
54:(x,y) = (-15.9683,-2.24864)
55:(x,y) = (-25.3577,15.4103)
56:(x,y) = (-41.7408,26.8818)
57:(x,y) = (-51.437,44.3742)
58:(x,y) = (-53.5275,24.4838)
59:(x,y) = (-52.1324,44.4351)
60:(x,y) = (-36.1597,32.3988)
61:(x,y) = (-18.3396,23.319)
62:(x,y) = (0.0705291,31.1336)
63:(x,y) = (20.0218,32.5287)
64:(x,y) = (3.84147,44.2844)
65:(x,y) = (21.5004,34.895)
66:(x,y) = (1.86788,31.0788)
67:(x,y) = (21.7583,28.9882)
68:(x,y) = (21.7583,8.98824)
69:(x,y) = (7.13124,-4.65172)
70:(x,y) = (-11.8899,1.52862)
71:(x,y) = (-21.5861,19.021)
72:(x,y) = (-11.8899,1.52862)
73:(x,y) = (-10.4948,-18.4227)
74:(x,y) = (8.41561,-24.934)
75:(x,y) = (1.24825,-6.26242)
76:(x,y) = (-18.5571,-3.47896)
77:(x,y) = (-10.7425,14.9311)
78:(x,y) = (-18.2346,-3.61254)
79:(x,y) = (-32.1278,10.7743)
80:(x,y) = (-49.0887,21.3726)
